Overall entropy: 9.332524431288697
Size of tokens: 53051
Size of types: 2373

word	freq	prob	entropy
彃	2335	0.044014250438257525	4.505885490841638
拏	928	0.01749260145897344	5.837111330311089
夯	726	0.01368494467587793	6.191266587442911
判	707	0.013326798740834292	6.229525920629262
纳	623	0.011743416712220317	6.412003972414659
玪	619	0.011668017568000602	6.421296726224397
P	592	0.01115907334451754	6.485638959809712
趾	551	0.01038623211626548	6.589183816867504
頎	492	0.009274094739024711	6.752577820099422
軾	465	0.008765150515541649	6.834005419443267
既	447	0.008425854366552939	6.8909613042553435
寇	439	0.008275056078113513	6.9170151959033035
賞	405	0.007634163352245952	7.033314227666674
雂	377	0.0071063693427079605	7.136671612169997
瘟	375	0.007068669770598104	7.1443455400554186
否	352	0.006635124691334753	7.235660706801364
巢	310	0.005843433677027766	7.418967920164423
朄	278	0.005240240523270061	7.576151252715154
氼	264	0.004976343518501065	7.650698206080208
R	251	0.004731296299786998	7.723548771487889
绨	251	0.004731296299786998	7.723548771487889
僻	239	0.004505098867127858	7.794225517457912
沍	236	0.0044485495089630735	7.81244927607682
桇	229	0.004316601006578575	7.855888537341717
轣	216	0.0040715537878645075	7.9402048232751925
泫	210	0.003958455071534938	7.980846807772539
戍	205	0.0038642061412602967	8.015612225933214
觻	205	0.0038642061412602967	8.015612225933214
绺	204	0.0038453563552053685	8.022666983467166
枥	198	0.0037322576388757987	8.065735705359051
劣	197	0.0037134078528208705	8.073040505982286
如	195	0.003675708280711014	8.087762011689051
关	193	0.0036380087086011572	8.102635288170582
侃	193	0.0036380087086011572	8.102635288170582
軆	192	0.003619158922546229	8.110129824717506
俬	189	0.0035626095643814444	8.132849901217588
纸	181	0.003411811275942018	8.195246438355456
凁	179	0.0033741117038321613	8.211276548174405
遛	178	0.003355261917777233	8.219358894472263
Ò	177	0.003336412131722305	8.227486775355665
甶	175	0.0032987125596124485	8.243881213606333
廃	173	0.003261012987502592	8.260464097801936
怢	171	0.003223313415392735	8.277239810552762
衠	170	0.003204463629337807	8.285701389300959
丹	167	0.0031479142711730223	8.31138803296461
斪	164	0.0030913649130082372	8.337540320820578
陞	163	0.003072515126953309	8.346364171207584
筑	162	0.003053665340898381	8.355242322554036
洶	162	0.003053665340898381	8.355242322554036
坊	162	0.003053665340898381	8.355242322554036
遰	161	0.0030348155548434526	8.364175447324044
仅	159	0.002997115982733596	8.382209370154307
伅	156	0.002940566624568811	8.409690106576413
枝	155	0.002921716838513883	8.418967920164423
朥	149	0.002808618122184313	8.4759238049765
劾	147	0.0027709185500744567	8.495419980602298
了	143	0.0026955194058547434	8.535220988660273
封	141	0.002657819833744887	8.555540973039868
柬	139	0.0026201202616350306	8.576151252715155
栴	138	0.0026012704755801024	8.586567868660492
闶	134	0.002525871331360389	8.62900313498089
慆	133	0.002507021545305461	8.639809889937473
巽	132	0.0024881717592505326	8.65069820608021
篩	131	0.0024693219731956044	8.66166932390121
墙	129	0.0024316224010857476	8.683865070015408
覑	129	0.0024316224010857476	8.683865070015408
賡	128	0.0024127726150308193	8.695092325438662
朾	126	0.002375073042920963	8.717812401938746
遆	125	0.0023562232568660347	8.729308040776575
烃	125	0.0023562232568660347	8.729308040776575
凸	124	0.0023373734708111065	8.740896015051787
勆	123	0.002318523684756178	8.752577820099422
颗	121	0.0022808241126463214	8.776229088164067
颁	120	0.002261974326591393	8.788201729830144
噯	119	0.002243124540536465	8.800274562130717
_	118	0.0022242747544815368	8.81244927607682
廽	118	0.0022242747544815368	8.81244927607682
僿	116	0.00218657518237168	8.837111330311089
舍	115	0.0021677253963167517	8.849602274494286
卶	113	0.0021300258242068952	8.874913363023474
糐	113	0.0021300258242068952	8.874913363023474
G	111	0.002092326252097039	8.900676459088556
駐	110	0.0020734764660421106	8.913732611914002
澗	110	0.0020734764660421106	8.913732611914002
敞	110	0.0020734764660421106	8.913732611914002
铱	110	0.0020734764660421106	8.913732611914002
卺	110	0.0020734764660421106	8.913732611914002
絋	110	0.0020734764660421106	8.913732611914002
紕	109	0.002054626679987182	8.926908000661735
虸	109	0.002054626679987182	8.926908000661735
梀	108	0.0020357768939322537	8.940204823275193
圈	108	0.0020357768939322537	8.940204823275193
千	108	0.0020357768939322537	8.940204823275193
兆	107	0.0020169271078773255	8.953625339037515
甡	105	0.001979227535767469	8.98084680777254
柋	105	0.001979227535767469	8.98084680777254
斴	105	0.001979227535767469	8.98084680777254
䷻	104	0.001960377749712541	8.994652607297569
杄	104	0.001960377749712541	8.994652607297569
驱	103	0.0019415279636576124	9.008591798255443
什	103	0.0019415279636576124	9.008591798255443
叇	103	0.0019415279636576124	9.008591798255443
徍	103	0.0019415279636576124	9.008591798255443
炴	103	0.0019415279636576124	9.008591798255443
陝	103	0.0019415279636576124	9.008591798255443
脬	101	0.001903828391547756	9.036880842686866
甕	100	0.0018849786054928276	9.051236135663936
哵	100	0.0018849786054928276	9.051236135663936
棍	99	0.0018661288194378994	9.065735705359051
欢	98	0.0018472790333829711	9.080382481323452
輄	98	0.0018472790333829711	9.080382481323452
膣	97	0.001828429247328043	9.095179483251535
津	97	0.001828429247328043	9.095179483251535
綺	96	0.0018095794612731145	9.110129824717506
鸚	96	0.0018095794612731145	9.110129824717506
盼	95	0.0017907296752181863	9.125236717107715
宗	94	0.001771879889163258	9.140503473761024
虐	92	0.0017341803170534014	9.171530369381648
彬	91	0.0017153305309984732	9.187297685239965
止	91	0.0017153305309984732	9.187297685239965
氝	90	0.001696480744943545	9.203239229108988
蔸	90	0.001696480744943545	9.203239229108988
＇	90	0.001696480744943545	9.203239229108988
倔	90	0.001696480744943545	9.203239229108988
戭	89	0.0016776309588886166	9.219358894472265
镺	89	0.0016776309588886166	9.219358894472265
搿	89	0.0016776309588886166	9.219358894472265
匒	88	0.0016587811728336883	9.235660706801363
廻	88	0.0016587811728336883	9.235660706801363
殷	88	0.0016587811728336883	9.235660706801363
盳	88	0.0016587811728336883	9.235660706801363
姁	87	0.0016399313867787601	9.252148829589933
夠	87	0.0016399313867787601	9.252148829589933
剘	87	0.0016399313867787601	9.252148829589933
繥	86	0.0016210816007238317	9.268827570736564
曳	86	0.0016210816007238317	9.268827570736564
甝	86	0.0016210816007238317	9.268827570736564
溱	85	0.0016022318146689035	9.285701389300959
龋	83	0.001564532242559047	9.320052894091736
