Overall entropy: 9.262970819416532
Size of tokens: 20510
Size of types: 3452

word	freq	prob	entropy
ϨϸС	919	0.044807411019015114	4.48011882007818
ϻІП	645	0.03144807411019015	4.990884521056598
ϨД	598	0.02915650901999025	5.100038197169109
Н	528	0.025743539736713797	5.279645752008761
ϻ	388	0.0189176011701609	5.724127029180087
ДЙ	376	0.01833252072159922	5.769451019689577
ϸЁЗ	294	0.014334470989761093	6.12436752653085
ЁІ	259	0.012627986348122866	6.307231583680661
ϸС	259	0.012627986348122866	6.307231583680661
ϸСЧ	243	0.011847879083373964	6.3992273677614335
ЋДА	217	0.010580204778156996	6.562488638922734
ЄϻЗ	212	0.010336421257922964	6.596119416804015
ϨϸϻϨ	193	0.009410043881033642	6.731582834099134
ЄЁϨϸ	192	0.009361287176986836	6.739077370646058
Ϻ	190	0.009263773768893223	6.754184263036266
ЗϻЁП	186	0.009068746952705996	6.784881060259184
ЁЗ	163	0.00794734275962945	6.975311717136137
ϻϨ	162	0.007898586055582642	6.9841898684825905
ЁϨ	162	0.007898586055582642	6.9841898684825905
ϸЁϽ	142	0.006923451974646514	7.174292751862532
ЗϸС	142	0.006923451974646514	7.174292751862532
ІДϨ	136	0.006630911750365676	7.236577030116876
ϸϻП	135	0.006582155046318869	7.247224274316383
ДІ	123	0.005997074597757192	7.381525366027975
ЉЧЁІЈС	122	0.005948317893710385	7.393302533804328
ϻЗ	120	0.005850804485616773	7.417149275758696
ЉЁСЧЧС	120	0.005850804485616773	7.417149275758696
ϻММ	107	0.005216967333008289	7.582572884966068
ϱАϨ	104	0.005070697220867869	7.623600153226122
ЙДЧ	99	0.004826913700633837	7.694683251287605
ϸϻϼС	89	0.004339346660165773	7.848306440400817
ϽС	89	0.004339346660165773	7.848306440400817
ЊϸС	88	0.004290589956118966	7.8646082527299175
ИІІϻ	84	0.004095563139931741	7.931722448588454
ЄϸД	81	0.003949293027791321	7.9841898684825905
ϱС	81	0.003949293027791321	7.9841898684825905
ДІС	75	0.0036567528035104826	8.095221180871334
ЗД	74	0.003607996099463676	8.114586505738265
ϽЋ	74	0.003607996099463676	8.114586505738265
ЙЧДϽ	73	0.00355923939541687	8.134215312487198
АГ	70	0.0034129692832764505	8.194756854422248
ϻЧС	66	0.0032179424670892246	8.279645752008761
ЄЁММ	66	0.0032179424670892246	8.279645752008761
ϻІ	63	0.0030716723549488053	8.346759947867298
ϲϺ	63	0.0030716723549488053	8.346759947867298
ЄϸϻϨ	62	0.003022915650901999	8.369843560980339
ЃДЧϩЗ	59	0.0028766455387615798	8.441396822005373
ϨϸЁЗ	57	0.002779132130667967	8.491149857202473
ЄСЧС	57	0.002779132130667967	8.491149857202473
ϱЋ	56	0.0027303754266211604	8.51668494930961
ЧДДϽ	54	0.0026328620185275477	8.569152369203746
ϵС	51	0.0024865919063871283	8.651614529395719
ИІПЧСЄ	51	0.0024865919063871283	8.651614529395719
ПД	50	0.0024378352023403218	8.68018368159249
ЙϻЈС	48	0.002340321794246709	8.739077370646058
ϼСЧЋ	48	0.002340321794246709	8.739077370646058
ЄϸЁЈϸ	48	0.002340321794246709	8.739077370646058
ϻϱДАϨ	48	0.002340321794246709	8.739077370646058
ЗϽЁМС	46	0.0022428083861530963	8.800477915310202
ПСϻЧ	46	0.0022428083861530963	8.800477915310202
ϻϽ	45	0.0021940516821062897	8.83218677503754
ДАϨ	44	0.002145294978059483	8.864608252729917
ЋДАІϾ	44	0.002145294978059483	8.864608252729917
ЬІДЄ	44	0.002145294978059483	8.864608252729917
ϽϻІ	43	0.002096538274012677	8.897775116665118
ЁЙ	43	0.002096538274012677	8.897775116665118
ϱССІ	42	0.0020477815699658703	8.931722448588454
ϸДЄ	41	0.0019990248659190637	8.96648786674913
ϨϸСЋ	41	0.0019990248659190637	8.96648786674913
ГЧЁІЈСЗЗ	40	0.0019502681618722574	9.002111776479852
ІД	39	0.001901511457825451	9.038637652504967
ЄДАМП	39	0.001901511457825451	9.038637652504967
ДЧ	39	0.001901511457825451	9.038637652504967
ϸϻЗ	39	0.001901511457825451	9.038637652504967
ПЁП	38	0.0018527547537786446	9.076112357923629
ϾД	38	0.0018527547537786446	9.076112357923629
ЁІϨД	37	0.001803998049731838	9.114586505738265
ЉϹϼМДϼІϻ	37	0.001803998049731838	9.114586505738265
МЁЬС	37	0.001803998049731838	9.114586505738265
ЗДІ	37	0.001803998049731838	9.114586505738265
ДІМЋ	36	0.0017552413456850316	9.154114869924902
МЁϨϨМС	36	0.0017552413456850316	9.154114869924902
ЫϸС	36	0.0017552413456850316	9.154114869924902
ϨϸСϽ	36	0.0017552413456850316	9.154114869924902
ϻϾϻЁІ	36	0.0017552413456850316	9.154114869924902
ЗСС	36	0.0017552413456850316	9.154114869924902
ЛϻЗϩМЁ	35	0.0017064846416382253	9.194756854422247
ϼЁЈДϽϨС	34	0.001657727937591419	9.236577030116875
ϸЁϽЗСМЙ	34	0.001657727937591419	9.236577030116875
ІДЄ	34	0.001657727937591419	9.236577030116875
ϽДЧС	34	0.001657727937591419	9.236577030116875
ЗϻЋ	34	0.001657727937591419	9.236577030116875
ПДІϭϨ	34	0.001657727937591419	9.236577030116875
ЌЁЬϸϹЋМДϼІϻ	34	0.001657727937591419	9.236577030116875
ЋДАЧ	33	0.0016089712335446123	9.279645752008761
СЋСЗ	31	0.0015114578254509996	9.369843560980339
ϻЗЬСП	31	0.0015114578254509996	9.369843560980339
ϸϻІП	31	0.0015114578254509996	9.369843560980339
ЄСІϨ	30	0.0014627011214041932	9.417149275758696
ПДЄІ	30	0.0014627011214041932	9.417149275758696
ϨϸСІ	29	0.0014139444173573866	9.466058876239643
ЄϸСІ	29	0.0014139444173573866	9.466058876239643
ИІП	29	0.0014139444173573866	9.466058876239643
ϨϸСЁЧ	29	0.0014139444173573866	9.466058876239643
ЈДАІϨ	29	0.0014139444173573866	9.466058876239643
ЗАЈϸ	27	0.0013164310092637738	9.569152369203746
ϺϨ	27	0.0013164310092637738	9.569152369203746
ЈДϽС	27	0.0013164310092637738	9.569152369203746
ЄЁІПДЄ	27	0.0013164310092637738	9.569152369203746
ϨϸСЧС	26	0.0012676743052169673	9.623600153226123
ϨЁϽС	26	0.0012676743052169673	9.623600153226123
ϻЙϨСЧ	26	0.0012676743052169673	9.623600153226123
ПЧϻЄЁІϾ	26	0.0012676743052169673	9.623600153226123
ЈДАІϨСЗЗ	26	0.0012676743052169673	9.623600153226123
МДДЬЁІϾ	25	0.0012189176011701609	9.680183681592489
ЄЁϨϸДАϨ	25	0.0012189176011701609	9.680183681592489
МДДЬСП	25	0.0012189176011701609	9.680183681592489
ВϿМДЬϸДϼ	25	0.0012189176011701609	9.680183681592489
ЧДАІП	24	0.0011701608971233545	9.739077370646058
ϵЁГГДМЋϨС	24	0.0011701608971233545	9.739077370646058
ИІϻϨДМС	24	0.0011701608971233545	9.739077370646058
ЗДϽСϨϸЁІϾ	23	0.0011214041930765481	9.800477915310202
ЄСММ	23	0.0011214041930765481	9.800477915310202
ϸСЧС	23	0.0011214041930765481	9.800477915310202
ЗϨЁММ	23	0.0011214041930765481	9.800477915310202
ϼЁЗЁϨДЧ	23	0.0011214041930765481	9.800477915310202
ЃАϨ	23	0.0011214041930765481	9.800477915310202
ϨДД	22	0.0010726474890297415	9.864608252729917
ЗϻϽС	22	0.0010726474890297415	9.864608252729917
ІСϼСЧ	22	0.0010726474890297415	9.864608252729917
ФϻϨϹЗϸϻ	22	0.0010726474890297415	9.864608252729917
ϱСϾϻІ	21	0.0010238907849829352	9.931722448588454
ϨДДЬ	21	0.0010238907849829352	9.931722448588454
ϾДЁІϾ	21	0.0010238907849829352	9.931722448588454
ϨϸЁІЬ	21	0.0010238907849829352	9.931722448588454
ϨАЧІСП	21	0.0010238907849829352	9.931722448588454
ϻППСП	21	0.0010238907849829352	9.931722448588454
ГСДГМС	20	0.0009751340809361287	10.002111776479852
ДІЈС	20	0.0009751340809361287	10.002111776479852
ϻМЄϻЋЗ	20	0.0009751340809361287	10.002111776479852
ЈДАМП	20	0.0009751340809361287	10.002111776479852
МДДЬ	20	0.0009751340809361287	10.002111776479852
ЧСГМЁСП	20	0.0009751340809361287	10.002111776479852
ϬАЁϨС	20	0.0009751340809361287	10.002111776479852
ЈДІϨЁІАСП	20	0.0009751340809361287	10.002111776479852
ϨϸДАϾϸ	19	0.0009263773768893223	10.076112357923629
ϱϻЈЬ	19	0.0009263773768893223	10.076112357923629
ϴАЗϨ	19	0.0009263773768893223	10.076112357923629
ЧЁϾϸϨ	19	0.0009263773768893223	10.076112357923629
ϽАЗϨ	19	0.0009263773768893223	10.076112357923629
ЌДЗЈДЄ	19	0.0009263773768893223	10.076112357923629
АІПСЧЗϨϻІП	19	0.0009263773768893223	10.076112357923629
ЄϸДϽ	18	0.0008776206728425158	10.154114869924902
ЙЁЧЗϨ	18	0.0008776206728425158	10.154114869924902
ЗϽЁМСП	18	0.0008776206728425158	10.154114869924902
ДЙЙ	18	0.0008776206728425158	10.154114869924902
ϸСϻП	18	0.0008776206728425158	10.154114869924902
МСЙϨ	18	0.0008776206728425158	10.154114869924902
ϨДІС	18	0.0008776206728425158	10.154114869924902
ϻЄϻЋ	18	0.0008776206728425158	10.154114869924902
ϲϳДА	18	0.0008776206728425158	10.154114869924902
ϨϻЬС	18	0.0008776206728425158	10.154114869924902
ϲϯϸϻϨ	18	0.0008776206728425158	10.154114869924902
ϾДДП	18	0.0008776206728425158	10.154114869924902
ϽДϨϸСЧ	18	0.0008776206728425158	10.154114869924902
ФЁЈϸДМϻЗ	18	0.0008776206728425158	10.154114869924902
АЗ	17	0.0008288639687957094	10.236577030116875
ДϼСЧ	17	0.0008288639687957094	10.236577030116875
ЗϽЁМЁІϾ	17	0.0008288639687957094	10.236577030116875
ϽАЈϸ	17	0.0008288639687957094	10.236577030116875
СϼСЧЋϨϸЁІϾ	17	0.0008288639687957094	10.236577030116875
ЈϻϽС	17	0.0008288639687957094	10.236577030116875
ЈДІϼСЧЗϻϨЁДІ	17	0.0008288639687957094	10.236577030116875
ЈϻІ	17	0.0008288639687957094	10.236577030116875
МДІϾ	17	0.0008288639687957094	10.236577030116875
ϱДϨϨМС	17	0.0008288639687957094	10.236577030116875
ЛЖЧϻ	17	0.0008288639687957094	10.236577030116875
ЉЧЁІЈСЗЗ	16	0.000780107264748903	10.324039871367216
СϼЁПСІϨМЋ	16	0.000780107264748903	10.324039871367216
ϾϻϼС	16	0.000780107264748903	10.324039871367216
ЄДЧПЗ	16	0.000780107264748903	10.324039871367216
ϲИІП	16	0.000780107264748903	10.324039871367216
МСϻϼС	16	0.000780107264748903	10.324039871367216
ϨϸϻІ	16	0.000780107264748903	10.324039871367216
ϻМЧСϻПЋ	16	0.000780107264748903	10.324039871367216
ІДϨϸЁІϾ	16	0.000780107264748903	10.324039871367216
ϨϸДАϾϸϨ	16	0.000780107264748903	10.324039871367216
РДАІϨ	16	0.000780107264748903	10.324039871367216
ЄϸДМС	15	0.0007313505607020966	10.417149275758696
ДЄІ	15	0.0007313505607020966	10.417149275758696
СϼСЧЋДІС	15	0.0007313505607020966	10.417149275758696
ЬІСЄ	15	0.0007313505607020966	10.417149275758696
ЄϻЋ	15	0.0007313505607020966	10.417149275758696
ЗϸДАМПСЧЗ	15	0.0007313505607020966	10.417149275758696
ЗССϽСП	15	0.0007313505607020966	10.417149275758696
ЗϻЄ	15	0.0007313505607020966	10.417149275758696
ϱСЙДЧС	15	0.0007313505607020966	10.417149275758696
СТГЧСЗЗЁДІ	15	0.0007313505607020966	10.417149275758696
ϸϻІПЗДϽС	15	0.0007313505607020966	10.417149275758696
ϨЄД	15	0.0007313505607020966	10.417149275758696
ЉСϨСЧЗϱАЧϾ	15	0.0007313505607020966	10.417149275758696
ϨϸЧДАϾϸ	15	0.0007313505607020966	10.417149275758696
ЗϸϻММ	15	0.0007313505607020966	10.417149275758696
ϽϻЬС	15	0.0007313505607020966	10.417149275758696
ϳДА	15	0.0007313505607020966	10.417149275758696
ϲϯСММ	15	0.0007313505607020966	10.417149275758696
МЁЙС	15	0.0007313505607020966	10.417149275758696
ПϻАϾϸϨСЧ	14	0.0006825938566552901	10.51668494930961
ЗϨДЧЋ	14	0.0006825938566552901	10.51668494930961
ЧДЗС	14	0.0006825938566552901	10.51668494930961
СІϨСЧСП	14	0.0006825938566552901	10.51668494930961
ϽϻПС	14	0.0006825938566552901	10.51668494930961
ϨϸДЗС	14	0.0006825938566552901	10.51668494930961
ϻМЗД	14	0.0006825938566552901	10.51668494930961
ϾСϨ	14	0.0006825938566552901	10.51668494930961
ϨАЧІЁІϾ	14	0.0006825938566552901	10.51668494930961
ЙСММДЄ	14	0.0006825938566552901	10.51668494930961
ЄϸЋ	14	0.0006825938566552901	10.51668494930961
ЄДϽСІ	14	0.0006825938566552901	10.51668494930961
УЧСІЈϸ	14	0.0006825938566552901	10.51668494930961
ДϨϸСЧ	14	0.0006825938566552901	10.51668494930961
ϼДЁЈС	14	0.0006825938566552901	10.51668494930961
ЙϻϨϸСЧ	14	0.0006825938566552901	10.51668494930961
ЗϸДАМП	14	0.0006825938566552901	10.51668494930961
ЄС	14	0.0006825938566552901	10.51668494930961
ПДІС	14	0.0006825938566552901	10.51668494930961
ЫϿІЋϻ	14	0.0006825938566552901	10.51668494930961
ЗДЈЁСϨЋ	13	0.0006338371526084836	10.623600153226123
ϻІДϨϸСЧ	13	0.0006338371526084836	10.623600153226123
ϲϵДЄ	13	0.0006338371526084836	10.623600153226123
ЗДϽС	13	0.0006338371526084836	10.623600153226123
СϼСІ	13	0.0006338371526084836	10.623600153226123
ϽДϽСІϨ	13	0.0006338371526084836	10.623600153226123
ЄϸЁМС	13	0.0006338371526084836	10.623600153226123
ЗГСϻЬ	13	0.0006338371526084836	10.623600153226123
ϾДІС	13	0.0006338371526084836	10.623600153226123
ϲЃАϨ	13	0.0006338371526084836	10.623600153226123
ЗϨДДП	13	0.0006338371526084836	10.623600153226123
ЉЁСЧЧСϭЗ	13	0.0006338371526084836	10.623600153226123
ϲФД	13	0.0006338371526084836	10.623600153226123
ϻІЋϨϸЁІϾ	13	0.0006338371526084836	10.623600153226123
ПϻЋ	13	0.0006338371526084836	10.623600153226123
ϲϳСЗ	13	0.0006338371526084836	10.623600153226123
ϨϸЁІϾЗ	13	0.0006338371526084836	10.623600153226123
МϻПЋ	12	0.0005850804485616773	10.73907737064606
ϱСϻАϨЁЙАМ	12	0.0005850804485616773	10.73907737064606
ϨСММ	12	0.0005850804485616773	10.73907737064606
ϲЊϸС	12	0.0005850804485616773	10.73907737064606
ЗЁϨϨЁІϾ	12	0.0005850804485616773	10.73907737064606
ϻІЋ	12	0.0005850804485616773	10.73907737064606
ϻЧϽ	12	0.0005850804485616773	10.73907737064606
ϨϻϱМС	12	0.0005850804485616773	10.73907737064606
ϨДМП	12	0.0005850804485616773	10.73907737064606
ϻЧϽЗ	12	0.0005850804485616773	10.73907737064606
ϻЗЬ	12	0.0005850804485616773	10.73907737064606
ДМП	12	0.0005850804485616773	10.73907737064606
ϲЌЋ	12	0.0005850804485616773	10.73907737064606
ЈЧЁСП	12	0.0005850804485616773	10.73907737064606
ЈϻЧЧЁϻϾС	12	0.0005850804485616773	10.73907737064606
ϻϾС	11	0.0005363237445148708	10.864608252729917
